Operateur;X;Y;2G;3G;4G
20810;149195;2389611;1;1;0
20801;149196;2389616;1;1;0
20820;149285;2390910;1;1;0
20810;149550;2353960;1;1;1
20820;149550;2353960;1;1;1
20810;149720;2396380;1;1;0
20820;149814;2415431;1;1;0
20815;149819;2415420;0;1;1
20820;149820;2343920;1;1;1
20810;149829;2343902;1;1;1
20801;149830;2343900;1;1;0
20801;149988;2328750;1;1;0
20810;150110;2351050;1;1;1
20820;150110;2351050;1;1;1
20801;150112;2351067;1;1;1
20815;150112;2351068;0;1;1
20801;150460;2354020;1;1;1
20810;151539;2377577;1;1;0
20810;152100;2338970;1;1;1
20820;152100;2338970;1;1;1
20801;152200;2337330;1;1;0
20801;152786;2408546;1;1;0
20801;152855;2345475;1;0;0
20810;153087;2409062;1;1;0
20820;153092;2409060;1;1;0
20815;153277;2336668;0;1;1
20820;153547;2422414;1;1;1
20810;153550;2422431;1;1;1
20801;153557;2422425;1;1;0
20810;153708;2329902;1;1;1
20820;153708;2329900;1;1;1
20801;153710;2329900;1;1;1
20801;154035;2377500;1;1;0
20810;154400;2355740;1;1;1
20820;154400;2355740;1;1;1
20801;155550;2387060;1;1;0
20810;155684;2414129;1;1;0
20801;155688;2414128;1;1;0
20815;156713;2414143;0;1;1
20820;156718,1988;2414141,754;1;1;1
20810;156866;2327818;1;1;0
20820;156868;2327818;1;1;0
20801;156870;2327815;1;1;0
20801;157346;2364903;1;1;0
20820;157512;2387925;1;1;0
20815;157516;2387959;0;1;1
20820;157791;2374698;1;0;0
20801;157810;2374708;1;1;0
20810;157843;2374755;1;1;0
20810;158123;2425645;1;1;0
20801;158156;2369476;1;1;0
20801;158369;2379060;1;1;0
20801;158730;2335680;1;1;0
20820;159335;2337193;1;1;1
20801;159338;2337193;1;1;1
20810;159340;2337188;1;1;1
20815;159540;2364693;0;1;1
20810;159541;2364689;1;1;1
20820;159550;2364700;1;1;1
20820;159600;2336850;1;1;0
20801;159693;2324715;1;1;1
20820;159696;2324722;1;1;1
20810;159700;2324720;1;1;1
20801;159868;2334694;1;1;1
20820;159879;2334682;1;1;1
20815;159879;2334682;0;1;1
20810;160180;2369760;1;1;1
20820;160180;2369760;1;1;1
20810;160295;2335260;1;1;0
20801;160395;2336155;1;1;0
20815;160706;2379321;0;1;1
20820;160713;2379325;1;1;1
20810;161096;2335613;1;1;1
20820;161096;2335613;1;1;1
20820;161117;2422578;1;1;1
20815;161117;2422578;0;1;1
20801;161134;2422579;1;1;0
20801;161140;2334611;1;1;0
20801;161468;2380664;0;1;1
20810;161750;2412175;1;1;1
20810;161765;2324734;1;1;0
20801;161784;2413682;1;1;0
20820;161825;2407620;1;1;0
20815;161834;2407618;0;1;1
20801;161848;2324747;1;1;0
20801;161860;2423675;1;1;0
20820;161988;2380675;1;0;0
20801;161989;2380832;1;1;1
20801;162000;2381450;1;1;0
20810;162015;2381446;1;1;0
20820;162025;2381452;1;1;1
20810;162187;2345474;1;1;1
20820;162187;2345474;1;1;1
20801;162198;2345480;1;1;0
20801;162205;2360404;1;1;0
20801;162546;2338266;1;1;0
20801;162547;2380222;0;0;0
20801;162889;2320221;1;1;0
20810;162891;2379488;1;1;0
20801;162900;2370580;1;1;0
20820;162973;2379810;1;1;1
20820;163000;2332170;1;1;1
20810;163009;2332247;1;1;1
20801;163040;2379651;1;1;1
20810;163609;2407679;1;1;0
20801;163926;2326193;1;1;1
20820;163941;2326197;1;1;0
20801;164155;2379750;0;0;0
20810;164880;2308631;1;1;0
20820;164880;2308635;1;1;1
20801;164900;2308650;1;1;1
20810;165053;2320132;1;1;0
20820;165058;2320131;0;1;0
